WellID,Latitude,Longitude,Aq_Type,PreMon_Mean,PostMon_Mean,Mean_Fluctuation
W1,30.7597,76.8042,Confined,100.31999969482422,41.66999816894531,-58.650001525878906
W2,30.7083,76.7944,Unconfined,2.877499997615814,2.7424999475479126,-0.1350000500679016
W3,30.7116,76.7844,-,22.182591143234,22.104616096665186,-0.07797504656881316
W4,30.7119,76.7849,-,48.82655911638204,48.73029344067581,-0.09626567570623479
W5,30.7119,76.7842,-,21.017036910677806,20.755176441882718,-0.2618604687950885
W6,30.7522,76.7187,-,40.83530184301651,41.03746035711012,0.20215851409361107
W7,30.6889,76.7919,-,23.90393433951941,24.013337712874673,0.10940337335526351
W8,30.7269,76.8031,-,41.06592927675278,41.18680667342,0.1208773966672183
W9,30.7495,76.7841,-,33.56034165588609,33.35540255945513,-0.2049390964309623
W10,30.7039,76.7761,-,19.082660637020325,18.816742083440325,-0.2659185535800006
W11,30.7038,76.7759,-,11.15078851274408,10.61817576455546,-0.5326127481886207
W12,30.7379,76.7429,-,15.153756876243701,14.368435051776746,-0.7853218244669549
W13,30.7381,76.7432,-,3.9204064908194844,3.45827264634636,-0.46213384447312444
W14,30.744,76.7232,-,7.092725978386447,5.596121530765532,-1.496604447620915
W15,30.7102,76.7482,-,3.384849395094932,2.9944841663161235,-0.3903652287788084
W16,30.7102,76.7485,-,3.3393536803746096,3.1167855352419602,-0.22256814513264933
W17,30.7404,76.7303,-,19.62151776629726,18.90125812498762,-0.7202596413096387
W18,30.7407,76.7307,-,20.010284079224956,19.412665979209443,-0.597618100015513
W19,30.703,76.7707,-,6.654635320275517,6.394517375814445,-0.26011794446107217
W20,30.7026,76.7677,-,63.79570132761054,64.41177037514458,0.6160690475340473
W22,30.7125,76.7853,Semi-confined,43.223333994547524,31.873332977294922,-11.350001017252602
W23,30.7125,76.7853,Unconfined,22.033334096272785,21.986666361490887,-0.04666773478189867
W24,30.7542,76.7194,Confined,43.22399978637695,43.43000030517578,0.20600051879883097
W25,30.7083,76.7336,Unconfined,9.5,10.130000114440918,0.630000114440918
W26,30.6917,76.7861,Unconfined,25.739999771118164,23.84000015258789,-1.8999996185302734
W28,30.7594,76.8042,-,42.380001068115234,41.810001373291016,-0.5699996948242188
W30,30.75,76.7861,Unconfined,32.5099983215332,29.59000015258789,-2.9199981689453125
W31,30.7556,76.7944,Unconfined,53.81999969482422,53.79999923706055,-0.020000457763671875
W35,30.7375,76.7875,-,52.125,52.05999946594238,-0.06500053405761719
W36,30.7056,76.7806,Unconfined,19.265000104904175,18.96999979019165,-0.2950003147125244
W37,30.7056,76.7806,Unconfined,11.68999989827474,11.50333340962728,-0.18666648864746094
W38,30.7375,76.7431,Semi-confined,18.15999984741211,14.759999752044678,-3.4000000953674316
W39,30.7375,76.7431,Unconfined,5.21999990940094,4.377499997615814,-0.8424999117851257
W40,30.7375,76.7278,Semi-confined,14.90999984741211,11.374999761581421,-3.5350000858306885
W41,30.7375,76.7278,Unconfined,7.850000143051148,6.639999866485596,-1.2100002765655526
W42,30.7097,76.8014,Confined,4.050000011920929,3.034999966621399,-1.01500004529953
W43,30.7097,76.8014,Unconfined,4.198333303133647,3.2766666412353516,-0.9216666618982954
W44,31.3096,76.7633,-,52.84641185087316,52.66404817471692,-0.1823636761562426
W48,30.7033,76.7694,Unconfined,7.679999828338623,7.2200000286102295,-0.45999979972839355
W49,30.7033,76.7694,Confined,62.2450008392334,63.55000114440918,1.3050003051757812
